LOKACIJA,"JA - Katastar"
﻿ADRESA,"Kralja Petra I,br. 6"
﻿GPS_POZICIJA,"21.26150000, 43.97550000"
﻿VRSTA_SENZORA,"Sirokopojasno merenje (100kHz – 7GHz)"
﻿VRSTA_MERENJA,"Mereno je elektricno polje"
﻿JEDINICA_MERE,V/m
﻿AKTIVNO,Da
RBR,DATUM_VREME,VREDNOST_POLJA,GRANICA_POLJA,GORNJA_NESIGURNOST,DONJA_NESIGURNOST,GORNJA_IZLOZENOST,DONJA_IZLOZENOST,GRANICA_IZLOZENOST,TEMPERATURA,VLAZNOST
105,"2018-12-28 10:24:00",3.35,11.000,4.087,2.613,0.092747933884298,0.0092668285110318,1,10.000,58.000
106,"2018-12-28 10:30:00",3.38,11.000,4.1236,2.6364,0.09441652892562,0.0094335447218919,1,10.000,58.000
107,"2018-12-28 10:36:00",3.37,11.000,4.1114,2.6286,0.09385867768595,0.0093778075042938,1,10.000,58.000
108,"2018-12-28 10:42:00",3.44,11.000,4.1968,2.6832,0.097798347107438,0.00977143612102,1,10.000,58.000
109,"2018-12-28 10:48:00",3.45,11.000,4.209,2.691,0.098367768595041,0.0098283293697979,1,10.000,58.000
110,"2018-12-28 10:54:00",3.36,11.000,4.0992,2.6208,0.093302479338843,0.0093222354340071,1,10.000,58.000
111,"2018-12-28 11:00:00",3.39,11.000,4.1358,2.6442,0.094976033057851,0.0094894470868014,1,10.000,58.000
112,"2018-12-28 11:06:00",3.46,11.000,4.2212,2.6988,0.098938842975207,0.0098853877658872,1,10.000,58.000
113,"2018-12-28 11:12:00",3.51,11.000,4.2822,2.7378,0.10181900826446,0.010173156956005,1,10.000,58.000
114,"2018-12-28 11:18:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
115,"2018-12-28 11:24:00",3.62,11.000,4.4164,2.8236,0.10830082644628,0.010820782137667,1,10.000,58.000
116,"2018-12-28 11:30:00",3.57,11.000,4.3554,2.7846,0.10532975206612,0.010523929845422,1,10.000,58.000
117,"2018-12-28 11:36:00",3.41,11.000,4.1602,2.6598,0.0961,0.0096017472585546,1,10.000,58.000
118,"2018-12-28 11:42:00",3.41,11.000,4.1602,2.6598,0.0961,0.0096017472585546,1,10.000,58.000
119,"2018-12-28 11:48:00",3.41,11.000,4.1602,2.6598,0.0961,0.0096017472585546,1,10.000,58.000
